iter	RMSE
0	4652.429499
1	3292.55148
2	2640.505454
3	2298.907616
4	2103.60913
5	2002.107183
6	1925.443194
7	1865.175002
8	1809.231462
9	1769.086003
10	1739.331275
11	1712.521444
12	1675.973459
13	1660.68897
14	1628.353766
15	1607.752742
16	1594.595208
17	1575.27673
18	1562.304562
19	1544.605067
20	1531.482218
21	1520.393352
22	1506.179339
23	1498.657727
24	1488.278838
25	1476.767087
26	1462.520904
27	1454.098531
28	1443.173774
29	1435.596652
30	1429.674022
31	1421.691638
32	1411.723195
33	1404.284298
34	1392.718216
35	1383.436063
36	1373.97195
37	1363.958872
38	1356.178291
39	1348.483419
40	1344.635023
41	1334.660172
42	1327.007801
43	1322.161024
44	1317.338558
45	1311.837713
46	1302.822488
47	1298.064987
48	1294.668545
49	1288.716225
50	1285.177879
51	1280.266472
52	1278.850938
53	1270.463903
54	1265.206059
55	1260.957167
56	1258.057128
57	1253.412974
58	1247.399899
59	1243.146584
60	1236.7292
61	1232.34035
62	1227.650277
63	1224.349977
64	1220.189246
65	1216.725502
66	1211.510529
67	1208.11089
68	1204.832446
69	1200.73739
70	1196.576313
71	1192.133319
72	1189.187028
73	1186.752012
74	1182.354236
75	1180.293991
76	1177.730039
77	1173.607554
78	1171.361498
79	1168.748122
80	1165.087708
81	1162.934046
82	1159.907833
83	1156.240202
84	1154.39331
85	1150.014369
86	1147.255989
87	1144.146086
88	1144.092839
89	1140.143825
90	1135.923786
91	1133.492401
92	1129.796791
93	1128.022882
94	1124.84309
95	1122.313572
96	1120.887232
97	1117.678363
98	1115.134818
99	1111.751571
