iter	Passed	Remaining
0	6	652
1	13	677
2	20	665
3	27	662
4	33	630
5	39	616
6	45	608
7	51	591
8	58	589
9	64	582
10	70	567
11	76	563
12	84	564
13	90	557
14	97	555
15	103	541
16	108	529
17	114	520
18	120	513
19	127	510
20	134	504
21	140	499
22	147	494
23	153	485
24	160	482
25	166	474
26	173	469
27	179	461
28	185	454
29	192	448
30	198	441
31	204	433
32	211	429
33	217	423
34	225	418
35	230	410
36	237	404
37	243	397
38	249	389
39	256	385
40	261	376
41	268	370
42	276	366
43	284	361
44	291	356
45	297	349
46	303	342
47	310	336
48	316	329
49	323	323
50	328	315
51	335	309
52	342	303
53	349	297
54	355	291
55	361	284
56	367	277
57	374	270
58	379	263
59	385	256
60	391	250
61	396	243
62	402	236
63	409	230
64	416	224
65	423	218
66	429	211
67	436	205
68	441	198
69	448	192
70	455	186
71	461	179
72	468	173
73	475	167
74	483	161
75	491	155
76	498	148
77	506	142
78	513	136
79	520	130
80	527	123
81	536	117
82	543	111
83	552	105
84	558	98
85	565	92
86	572	85
87	580	79
88	586	72
89	593	65
90	599	59
91	606	52
92	612	46
93	618	39
94	623	32
95	630	26
96	636	19
97	642	13
98	649	6
99	654	0
